"","geo1","time","dSP","dG","dE","ver","rok"
"1","Austria",2002-01-01,22901.6,-13880.4,-8367.89999999999,45149.9,2019-09-16
"2","Austria",2003-01-01,21188,-15326.1,-6384.20000000001,42898.3,2019-09-16
"3","Austria",2004-01-01,23692.2,-15971.8,-7130.09999999999,46794.1,2019-09-16
"4","Austria",2005-01-01,25606.2,-17936.3,-8144.89999999999,51687.4,2019-09-16
"5","Austria",2006-01-01,30068.5,-19580.2,-9628.29999999999,59277,2019-09-16
"6","Austria",2007-01-01,32377.6,-19157.9,-12462.3,63997.8,2019-09-16
"7","Austria",2008-01-01,34246.1,-21217.4,-12996.2,68459.7,2019-09-16
"8","Austria",2009-01-01,32871.9,-24060.9,-9657,66589.8,2019-09-16
"9","Austria",2010-01-01,33879,-23825.5,-10369.8,68074.3,2019-09-16
"10","Austria",2011-01-01,30523.1,-22511.8,-8666.69999999998,61701.6,2019-09-16
"11","Austria",2012-01-01,31058.6,-22447.3,-8906.89999999999,62412.8,2019-09-16
"12","Austria",2013-01-01,31602.5,-22864.2,-9121.89999999999,63588.6,2019-09-16
"13","Austria",2014-01-01,34427.3,-23536.2,-10892.6,68856.1,2019-09-16
"14","Austria",2015-01-01,36286.1,-23380.4,-12911.4,72577.9,2019-09-16
"15","Austria",2016-01-01,37884.9,-24941.7,-13120.8,75947.4,2019-09-16
"16","Austria",2017-01-01,38240.9,-25984.2,-11431.3,75656.4,2019-09-16
"17","Austria",2018-01-01,41257.7,-26528.9,-13885.6,81672.2,2019-09-16
"18","Belgia",2002-01-01,45169.8,-30028.4,-15141.4,90339.6,2019-09-16
"19","Belgia",2003-01-01,47132.5,-32430.1,-14702.4,94265,2019-09-16
"20","Belgia",2004-01-01,46566.7,-32521,-14045.7,93133.4,2019-09-16
"21","Belgia",2005-01-01,46682.3,-35262.7,-11419.6,93364.6,2019-09-16
"22","Belgia",2006-01-01,49344.2,-37165,-12179.2,98688.4,2019-09-16
"23","Belgia",2007-01-01,52321.6,-39160.3,-13161.3,104643.2,2019-09-16
"24","Belgia",2008-01-01,46664,-44950.6,-1713.39999999997,93327.9999999999,2019-09-16
"25","Belgia",2009-01-01,58265.9,-50373.7,-7892.19999999998,116531.8,2019-09-16
"26","Belgia",2010-01-01,57695.3,-51135.4,-6559.90000000002,115390.6,2019-09-16
"27","Belgia",2011-01-01,56562.1,-54600.5,-1961.59999999998,113124.2,2019-09-16
"28","Belgia",2012-01-01,58407.1,-56017.4,-2389.70000000001,116814.2,2019-09-16
"29","Belgia",2013-01-01,62778.2,-57905.5,-4872.70000000001,125556.4,2019-09-16
"30","Belgia",2014-01-01,61164.2,-58627.4,-2536.79999999999,122328.4,2019-09-16
"31","Belgia",2015-01-01,63899.2,-58035.5,-5863.70000000001,127798.4,2019-09-16
"32","Belgia",2016-01-01,62618.4,-56978.4,-5640,125236.8,2019-09-16
"33","Belgia",2017-01-01,63379.8,-58265.8,-5114,126759.6,2019-09-16
